Title,Price,Amount,Overall-Rating,Total-Reviews,Availability,Color,Brand,Material,Special-Feature,Discount-Amount
ORNARTO Compatible with iPhone 13 Case 6.1 Slim Liquid Silicone 3 Layers Full Covered Soft Gel Rubber Case Cover 6.1 inch-Brown,$15.99,1,4.6 out of 5 stars,2.461 ratings,In Stock.,Brown,ORNARTO,Silicone,NA,NA
NTG [1st Generation] Designed for iPhone 13 Case Heavy-Duty Tough Rugged Lightweight Slim Shockproof Protective Case for iPhone 13 6.1 InchBlack,$14.99,10,4.6 out of 5 stars,916 ratings,In Stock.,Black,NTG,NA,"Wireless, Slim Fit, Heavy Duty Protection, Tough, Shockproof",NA
NTG [1st Generation] Designed for iPhone 13 Case Heavy-Duty Tough Rugged Lightweight Slim Shockproof Protective Case for iPhone 13 6.1 Inch (Cherry Juice Pink),$12.99,10,4.6 out of 5 stars,916 ratings,In Stock.,Cherry Juice Pink,NTG,"Polycarbonate, Thermoplastic Polyurethane","Lightweight, Shock-Absorbent",NA
JJGoo Compatible with iPhone 13 Case Clear Glitter Sparkle Bling Sparkly Shockproof Protective Cute Slim Thin Phone Cases Cover for Women Girls - 6.1 inch 2021,$5.94,5,4.7 out of 5 stars,1.912 ratings,In Stock.,Clear Glitter,JJGoo,Thermoplastic Polyurethane,NA,$5.94
JJGoo Compatible with iPhone 13 Case Clear Glitter Sparkle Bling Shock Absorption Protective Phone Cases Cute Slim Thin Cover for Women Girls (6.1 inch) 2021- Blue Glitter,$9.99,2,4.7 out of 5 stars,1.912 ratings,In Stock.,Blue Glitter,JJGoo,Thermoplastic Polyurethane,Wireless_charging_compatible,NA
JJGoo Compatible with iPhone 13 Case Clear Glitter Sparkle Bling Shock Absorption Protective Phone Cases Cute Slim Thin Cover for Women Girls (6.1 inch) 2021- Purple Glitter,$9.99,6,4.7 out of 5 stars,1.912 ratings,In Stock.,Purple Glitter,JJGoo,NA,NA,NA
Spigen Liquid Air Armor Designed for iPhone 13 Pro Case (2021) - Navy Blue,$16.99,4,4.7 out of 5 stars,1.764 ratings,In Stock.,Navy Blue,Spigen,NA,Anti-Slip,NA
Spigen Ultra Hybrid Mag [Anti-Yellowing Technology] Compatible with MagSafe Designed for iPhone 13 Pro Case (2021) - Black,$21.99,1,4.6 out of 5 stars,2.017 ratings,In Stock.,Black,Spigen,Polycarbonate,Heavy Duty Protection,NA
Humixx Shockproof Series for iPhone 13 Case [10FT Military Grade Drop Protection] [Ultimate Touch Feeling] Translucent Matte Back and 4-Corner Airbag Armor Phone Case iPhone 13 6.1 inch Space Black,$19.99,10,4.6 out of 5 stars,4.772 ratings,In Stock.,A- Space Black,Humixx,"Silicone, Plastic, Rubber, Thermoplastic Polyurethane",,NA
"Humixx Shockproof Designed for iPhone 13 Case [Military Grade Drop Tested] [Airbag Protection] Translucent Matte Back and Soft Edge Slim Case Compatible with iPhone 13 6.1"" 5G - Pine Green",$24.99,7,4.6 out of 5 stars,4.772 ratings,In Stock.,C- Pine Green,Humixx,"Silicone, Plastic, Rubber, Thermoplastic Polyurethane",,NA
Spigen Ultra Hybrid Designed for iPhone 13 Case (2021) - Sand Beige,$16.99,10,4.7 out of 5 stars,5.556 ratings,In Stock.,Sand Beige,Spigen,"Polycarbonate, Thermoplastic Polyurethane",NA,$13.00
Spigen Ultra Hybrid Designed for iPhone 13 Case (2021) - Frost Black,$16.99,5,4.7 out of 5 stars,5.556 ratings,In Stock.,Frost Black,Spigen,Thermoplastic Polyurethane,NA,NA
