Title,Price,Amount,Overall-Rating,Total-Reviews,Availability,Color,Brand,Material,Special-Feature,Discount-Amount
Diverbox for iPhone 13 Case [Shockproof] [Dropproof] [Dust-Proof]Heavy Duty Protection Phone Case Cover for Apple iPhone 13 (Dark Green),$14.99,8,4.6 out of 5 stars,1.244 ratings,In Stock.,Dark Green,Diverbox,"Silicone, Plastic, Rubber",Shock_absorbent,NA
Spigen Ultra Hybrid [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear,$14.49,5,4.6 out of 5 stars,12.694 ratings,In Stock.,Crystal Clear,Spigen,Thermoplastic Polyurethane,NA,NA
Spigen Ultra Hybrid Designed for iPhone 13 Pro Max Case (2021) - Matte Black,$15.99,7,4.6 out of 5 stars,12.694 ratings,In Stock.,Matte Black,Spigen,"Polycarbonate, Thermoplastic Polyurethane",NA,$14.00
Spigen Ultra Hybrid S [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear,$16.99,5,4.5 out of 5 stars,721 ratings,In Stock.,Crystal Clear,Spigen,Thermoplastic Polyurethane,"Kickstand, Magnetic",NA
Smartish iPhone 13 Slim Case - Gripmunk Compatible with MagSafe [Lightweight + Protective] Thin Grip Cover with Microfiber Lining - Black Tie Affair,$19.99,4,4.6 out of 5 stars,537 ratings,In Stock.,.Black Tie Affair (MagSafe),Smartish,"Grippy Sides, Smooth Back",,NA
Smartish iPhone 13 Slim Case - Gripmunk Compatible with MagSafe [Lightweight + Protective] Thin Grip Cover with Microfiber Lining - Nothin' to Hide,$19.99,9,4.6 out of 5 stars,537 ratings,In Stock.,.Nothin' to Hide (MagSafe),Smartish,"Grippy Sides, Smooth Back",,NA
CASEKOO for iPhone 13 Pro Case [Military Drop Protection] [Anti Fade] Shockproof Protective Phone Case Slim Thin Cover 6.1 inch 2021 Black,$19.98,6,4.7 out of 5 stars,8.782 ratings,In Stock.,Black,CASEKOO,"Rubber, Polycarbonate, Thermoplastic Polyurethane",NA,$2.01
CASEKOO Twinkle Star for iPhone 13 Pro [Clear Glitter] [Never Yellow] Military Grade Protection [Sparkly Shiny Bling] Slim Thin Shockproof Protective Phone Case for Women Girls-6.1 inch,$20.98,3,4.7 out of 5 stars,8.782 ratings,In Stock.,Clear Glitter,CASEKOO,,,NA
"HOTWAV 2022 Designed for iPhone 13 Case | Soft Texture | Translucent Matte Back | Anti -Scratchi | Dirt-Resistanti | Slim Fit for iPhone 13 6.1"" - Black",$2.99,5,4.9 out of 5 stars,58 ratings,In Stock.,IPhone 13,HOTWAV,Synthetic Rubber,Wireless Charging Compatible,$13.00
Smartish iPhone 13 Slim Case - Gripmunk - [Lightweight + Protective] Thin Grip Cover - Black Tie Affair,$14.99,3,4.6 out of 5 stars,537 ratings,In Stock.,Black Tie Affair,Smartish,"Grippy Sides, Smooth Back",,NA
i-Blason Ares Case for iPhone 13 6.1 inch (2021 Release) Dual Layer Rugged Clear Bumper Case with Built-in Screen Protector(Black),$21.99,9,4.5 out of 5 stars,1.102 ratings,In Stock.,Black,I-Blason,Thermoplastic Polyurethane,Built-in Screen Protector,NA
i-Blason Ares Case for iPhone 13 6.1 inch (2021 Release) Dual Layer Rugged Clear Bumper Case with Built-in Screen Protector(Peach),$21.99,3,4.5 out of 5 stars,1.102 ratings,In Stock.,Peach,I-Blason,Thermoplastic Polyurethane,Screen Protector,NA
Apple Silicone Case with MagSafe (for iPhone 13 Pro) - Pink Pomelo,$49.00,2,4.4 out of 5 stars,2.229 ratings,In Stock.,Pink Pomelo,Apple,Silicone,"Slim Fit, Magnetic, Shock-Absorbent, Wireless Charging Compatible",NA
Designed for iPhone 13 CaseORETECH iPhone 13 Case with 2 x Tempered Glass Screen Protector&Camera Lens Protector for iPhone 13 Hard PC+TPU Shockproof Non-Slip Case Cover for iPhone 13 Case-Black,$13.99,7,4.4 out of 5 stars,511 ratings,In Stock.,Black,ORETECH,"Tempered Glass, Thermoplastic Polyurethane","Heavy Duty Protection, Support Wireless Charging, Anti-Scratch, Impact Resistance, Non-Yellowing",NA
ESR Air Armor Case Compatible with iPhone 13 Case Military-Grade Drop Protection Shock-Absorbing Corners Yellowing-Resistant Hard Back Scratch Resistant Frosted Black,$18.99,4,4.7 out of 5 stars,3.786 ratings,In Stock.,Black,ESR,NA,Scratch Resistant,NA
